Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Van's, The Perfect 10, Crispy Six Whole Grain + Four Seed Baked Crackers, Gluten Free",471.0,7.63,18.9,67.6,255.0,57.0,94.0
"School Lunch, pizza, TONY'S SMARTPIZZA Whole Grain 4x6 Cheese Pizza 50/50 Cheese, frozen",233.0,12.1,7.51,29.3,331.0,207.0,48.0
"School Lunch, pizza, TONY'S SMARTPIZZA Whole Grain 4x6 Pepperoni Pizza 50/50 Cheese, frozen",238.0,12.1,8.19,28.8,363.0,192.0,49.0
"School Lunch, pizza, BIG DADDY'S LS 16"" 51% Whole Grain Rolled Edge Cheese Pizza, frozen",243.0,13.9,8.81,27.1,288.0,183.0,38.0
"Pasta, whole grain, 51% whole wheat, remaining enriched semolina, cooked (Includes foods for USDA's Food Distribution Program)",156.0,5.67,1.48,30.9,71.0,11.0,41.0
"Pasta, whole grain, 51% whole wheat, remaining enriched semolina, dry (Includes foods for USDA's Food Distribution Program)",361.0,13.2,2.55,73.3,318.0,25.0,94.0
"School Lunch, pizza, BIG DADDY'S LS 16"" 51% Whole Grain Rolled Edge Turkey Pepperoni Pizza, frozen",248.0,13.6,9.33,27.4,293.0,147.0,39.0
Arrowroot flour,357.0,0.3,0.1,88.2,11.0,40.0,3.0
Barley flour or meal,345.0,10.5,1.6,74.5,309.0,32.0,96.0
Barley malt flour,361.0,10.3,1.84,78.3,224.0,37.0,97.0
"Barley, hulled",354.0,12.5,2.3,73.5,452.0,33.0,133.0
"Barley, pearled, cooked",123.0,2.26,0.44,28.2,93.0,11.0,22.0
"Barley, pearled, raw",352.0,9.91,1.16,77.7,280.0,29.0,79.0
Buckwheat,343.0,13.2,3.4,71.5,460.0,18.0,231.0
"Buckwheat flour, whole-groat",335.0,12.6,3.1,70.6,577.0,41.0,251.0
"Buckwheat groats, roasted, cooked",92.0,3.38,0.62,19.9,88.0,7.0,51.0
"Buckwheat groats, roasted, dry",346.0,11.7,2.71,75.0,320.0,17.0,221.0
"Bulgur, cooked",83.0,3.08,0.24,18.6,68.0,10.0,32.0
