Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na"
"Pineapple, raw, traditional varieties",45.0,0.55,0.13,11.8,87.2,0.27,,125.0,12.0,1.0
"Pitanga, (surinam-cherry), raw",33.0,0.8,0.4,7.49,90.8,0.5,,103.0,12.0,3.0
"Plantains, green, boiled",121.0,1.09,0.08,29.2,69.1,0.6,2.6,289.0,28.0,2.0
"Plantains, green, fried",309.0,1.5,11.8,49.2,36.1,1.44,3.5,482.0,58.0,2.0
"Plantains, green, raw",152.0,1.25,0.07,36.7,61.1,0.92,2.2,431.0,41.0,2.0
"Plantains, yellow, baked",155.0,1.52,0.16,41.4,55.9,1.09,2.2,477.0,41.0,2.0
"Plantains, yellow, raw",122.0,1.3,0.35,31.9,65.2,1.15,1.7,487.0,36.0,4.0
"Plums, canned, heavy syrup, drained",89.0,0.44,0.14,23.1,76.1,0.25,1.5,93.0,5.0,19.0
"Plums, canned, purple, extra heavy syrup pack, solids and liquids",101.0,0.36,0.1,26.3,73.0,0.24,1.0,89.0,5.0,19.0
"Plums, canned, purple, heavy syrup pack, solids and liquids",89.0,0.36,0.1,23.2,76.1,0.24,0.9,91.0,5.0,19.0
"Plums, canned, purple, juice pack, solids and liquids",58.0,0.51,0.02,15.2,84.0,0.3,0.9,154.0,8.0,1.0
"Plums, canned, purple, light syrup pack, solids and liquids",63.0,0.37,0.1,16.3,83.0,0.25,0.9,93.0,5.0,20.0
"Plums, canned, purple, water pack, solids and liquids",41.0,0.39,0.01,11.0,88.4,0.23,0.9,126.0,5.0,1.0
"Plums, dried (prunes), stewed, with added sugar",124.0,1.09,0.22,32.9,65.1,0.73,3.8,312.0,19.0,2.0
"Plums, dried (prunes), stewed, without added sugar",107.0,0.96,0.16,28.1,69.7,1.16,3.1,321.0,18.0,1.0
"Plums, dried (prunes), uncooked",240.0,2.18,0.38,63.9,30.9,2.64,7.1,732.0,41.0,2.0
"Plums, raw",46.0,0.7,0.28,11.4,87.2,0.37,1.4,157.0,7.0,0.0
"Pomegranate juice, bottled",54.0,0.15,0.29,13.1,86.0,0.49,0.1,214.0,7.0,9.0
"Pomegranates, raw",83.0,1.67,1.17,18.7,77.9,0.53,4.0,236.0,12.0,3.0
"Prickly pears, raw",41.0,0.73,0.51,9.57,87.6,1.64,3.6,220.0,85.0,5.0
"Prune juice, canned",71.0,0.61,0.03,17.4,81.2,0.68,1.0,276.0,14.0,4.0
Prune puree,257.0,2.1,0.2,65.1,30.0,2.6,3.3,852.0,,23.0
"Prunes, canned, heavy syrup pack, solids and liquids",105.0,0.87,0.2,27.8,70.7,0.46,3.8,226.0,15.0,3.0
"Prunes, dehydrated (low-moisture), stewed",113.0,1.23,0.24,29.7,68.0,0.83,,353.0,21.0,2.0
"Prunes, dehydrated (low-moisture), uncooked",339.0,3.7,0.73,89.1,4.0,2.5,,1060.0,64.0,5.0
"Pummelo, raw",38.0,0.76,0.04,9.62,89.1,0.48,1.0,216.0,6.0,1.0
"Quinces, raw",57.0,0.4,0.1,15.3,83.8,0.4,1.9,197.0,8.0,4.0
"Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)",299.0,3.3,0.25,79.3,15.5,1.68,4.5,744.0,36.0,26.0
"Raisins, golden, seedless",301.0,3.28,0.2,80.0,14.9,1.61,3.3,746.0,35.0,24.0
"Raisins, seeded",296.0,2.52,0.54,78.5,16.6,1.89,6.8,825.0,30.0,28.0
"Rambutan, canned, syrup pack",82.0,0.65,0.21,20.9,78.0,0.23,0.9,42.0,7.0,11.0
"Raspberries, canned, red, heavy syrup pack, solids and liquids",91.0,0.83,0.12,23.4,75.3,0.36,3.3,94.0,12.0,3.0
"Raspberries, frozen, red, sweetened",103.0,0.7,0.16,26.2,72.8,0.24,4.4,114.0,13.0,1.0
"Raspberries, frozen, red, unsweetened",56.0,1.15,0.81,12.6,85.0,0.48,4.3,184.0,23.0,4.0
"Raspberries, puree, seedless",41.0,1.02,0.87,7.99,89.7,0.42,0.9,169.0,15.0,4.0
"Raspberries, puree, with seeds",55.0,1.1,0.97,11.5,85.9,0.54,4.3,195.0,25.0,4.0
"Raspberries, raw",52.0,1.2,0.65,11.9,85.8,0.46,6.5,151.0,22.0,1.0
Raspberry juice concentrate,221.0,3.04,1.34,53.2,41.2,1.29,1.1,1180.0,112.0,10.0
"Rhubarb, frozen, cooked, with sugar",116.0,0.39,0.05,31.2,67.8,0.56,2.0,96.0,12.0,1.0
"Rhubarb, frozen, uncooked",21.0,0.55,0.11,5.1,93.5,0.72,1.8,108.0,18.0,2.0
"Rhubarb, raw",21.0,0.9,0.2,4.54,93.6,0.76,1.8,288.0,12.0,4.0
"Rose-apples, raw",25.0,0.6,0.3,5.7,93.0,0.4,,123.0,5.0,0.0
"Roselle, raw",49.0,0.96,0.64,11.3,86.6,0.51,,208.0,51.0,6.0
"Rowal, raw",111.0,2.3,2.0,23.9,71.4,0.4,6.2,131.0,32.0,4.0
"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",44.0,0.5,0.1,10.5,88.6,0.27,0.2,94.0,,8.0
"Sapodilla, raw",83.0,0.44,1.1,20.0,78.0,0.5,5.3,193.0,12.0,12.0
"Sapote, mamey, raw",124.0,1.45,0.46,32.1,64.9,1.12,5.4,454.0,11.0,7.0
"Soursop, raw",66.0,1.0,0.3,16.8,81.2,0.7,3.3,278.0,21.0,14.0
"Strawberries, canned, heavy syrup pack, solids and liquids",92.0,0.56,0.26,23.5,75.4,0.3,1.7,86.0,8.0,4.0
"Strawberries, frozen, sweetened, sliced",96.0,0.53,0.13,25.9,73.2,0.24,1.9,98.0,7.0,3.0
"Strawberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",35.0,0.43,0.11,9.13,90.0,0.37,2.1,148.0,11.0,2.0
"Strawberries, raw",32.0,0.67,0.3,7.68,91.0,0.4,2.0,153.0,13.0,1.0
"Sugar-apples, (sweetsop), raw",94.0,2.06,0.29,23.6,73.2,0.78,4.4,247.0,21.0,9.0
"Tamarind nectar, canned",57.0,0.09,0.12,14.7,85.0,0.09,0.5,27.0,4.0,7.0
"Tamarinds, raw",239.0,2.8,0.6,62.5,31.4,2.7,5.1,628.0,92.0,28.0
"Tangerine juice, raw",43.0,0.5,0.2,10.1,88.9,0.3,0.2,178.0,8.0,1.0
"Tangerines, (mandarin oranges), canned, juice pack",37.0,0.62,0.03,9.57,89.5,0.28,0.7,133.0,11.0,5.0
"Tangerines, (mandarin oranges), canned, juice pack, drained",38.0,0.75,0.04,9.41,89.5,0.29,1.2,136.0,11.0,5.0
"Tangerines, (mandarin oranges), canned, light syrup pack",61.0,0.45,0.1,16.2,83.1,0.19,0.7,78.0,8.0,6.0
"Tangerines, (mandarin oranges), raw",53.0,0.81,0.31,13.3,85.2,0.38,1.8,166.0,12.0,2.0
"Watermelon, raw",30.0,0.61,0.15,7.55,91.4,0.25,0.4,112.0,10.0,1.0
