Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na"
"Babyfood, juice treats, fruit medley, toddler",347.0,0.0,0.02,86.7,12.9,0.29,0.0,54.0,7.0,89.0
"Beverages, Fruit punch drink, frozen concentrate",162.0,0.2,0.0,41.4,58.2,0.2,0.4,44.0,6.0,8.0
"Breakfast bar, corn flake crust with fruit",376.0,4.4,7.5,72.8,14.5,0.8,2.1,197.0,27.0,337.0
"Candies, fruit snacks, with high vitamin C",352.0,0.08,0.0,88.0,11.8,0.11,0.0,8.0,1.0,23.0
"Chayote, fruit, cooked, boiled, drained, with salt",22.0,0.62,0.48,4.5,93.4,0.97,2.8,173.0,12.0,237.0
"Jams, preserves, marmalades, sweetened with fruit juice",212.0,0.0,0.0,52.9,46.8,0.23,0.9,65.0,5.0,0.0
"Snacks, fruit leather, pieces, with vitamin C",373.0,0.1,3.5,85.2,10.2,1.0,3.5,164.0,14.0,317.0
"Snacks, granola bar, fruit-filled, nonfat",342.0,5.9,0.9,77.6,13.7,1.9,7.4,220.0,50.0,16.0
"Snacks, NUTRI-GRAIN FRUIT AND NUT BAR",403.0,9.38,10.9,66.7,11.3,1.72,7.5,328.0,105.0,195.0
"Yogurt, fruit, lowfat, with low calorie sweetener",105.0,4.86,1.41,18.6,74.1,1.03,0.0,194.0,16.0,58.0
"Beverages, fruit juice drink, greater than 3% fruit juice, high vitamin C and added thiamin",54.0,0.13,0.0,13.2,86.4,0.31,0.1,122.0,5.0,61.0
"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",46.0,0.63,0.02,10.9,88.0,0.45,0.0,116.0,,4.0
"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",56.0,0.63,0.33,13.0,85.6,0.39,0.6,177.0,15.0,11.0
"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",52.0,0.44,0.3,12.4,86.6,0.29,0.6,184.0,13.0,5.0
"Fruit juice smoothie, NAKED JUICE, BLUE MACHINE",71.0,0.42,0.0,16.7,81.7,1.21,2.9,154.0,,4.0
"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",53.0,0.6,0.26,12.5,86.2,0.36,0.7,165.0,10.0,6.0
"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",63.0,0.42,0.0,15.0,83.5,1.12,0.0,142.0,,4.0
"Fruit juice smoothie, NAKED JUICE, strawberry banana",50.0,0.48,0.27,11.7,87.3,0.31,0.6,201.0,14.0,2.0
"Babyfood, mixed fruit juice with low fat yogurt",74.0,2.4,0.8,14.7,81.5,0.62,0.4,137.0,10.0,36.0
"Beverages, citrus fruit juice drink, frozen concentrate",162.0,1.2,0.1,40.2,57.4,1.1,0.2,393.0,20.0,3.0
"Beverages, Fruit punch drink, with added nutrients, canned",47.0,0.0,0.0,11.9,88.0,0.08,0.2,31.0,3.0,38.0
"Beverages, fruit punch juice drink, frozen concentrate",175.0,0.3,0.7,43.1,55.5,0.5,0.2,270.0,11.0,10.0
"Beverages, Propel Zero, fruit-flavored, non-carbonated",5.0,0.0,0.0,1.14,98.8,0.08,0.0,16.0,0.0,33.0
"Beverages, V8 SPLASH Juice Drinks, Fruit Medley",33.0,0.0,0.0,7.82,91.8,0.38,,10.0,,21.0
"Chayote, fruit, cooked, boiled, drained, without salt",24.0,0.62,0.48,5.09,93.4,0.38,2.8,173.0,12.0,1.0
"Frozen novelties, ice type, fruit, no sugar added",24.0,0.5,0.1,6.2,93.2,0.1,0.0,26.0,2.0,5.0
"McDONALD'S, Fruit 'n Yogurt Parfait (without granola)",90.0,2.47,1.13,17.7,78.2,0.56,0.9,165.0,12.0,38.0
"Yogurt, fruit variety, nonfat, fortified with vitamin D",95.0,4.4,0.2,19.0,75.4,1.0,0.0,194.0,15.0,58.0
"Yogurt, Greek, nonfat, Fruit on Bottom, Blackberry, CHOBANI",95.0,7.54,0.37,15.4,76.0,0.66,0.4,0.0,,0.0
"Yogurt, Greek, nonfat, Fruit on Bottom, Pomegranate, CHOBANI",80.0,7.45,0.18,12.1,79.6,0.64,0.8,128.0,,31.0
"Yogurt, Greek, nonfat, Fruit on Bottom, Strawberry, CHOBANI",79.0,7.28,0.23,11.9,80.0,0.63,0.4,132.0,10.0,31.0
"Beverages, Fruit flavored drink, reduced sugar, greater than 3% fruit juice, high vitamin C, added calcium",29.0,0.0,0.37,6.67,93.0,0.06,0.0,31.0,1.0,25.0
"Babyfood, dessert, fruit dessert, without ascorbic acid, junior",63.0,0.3,0.0,17.2,82.2,0.3,0.6,95.0,5.0,0.0
"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",59.0,0.3,0.0,16.0,83.4,0.3,0.6,94.0,5.0,0.0
"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior",74.0,0.1,0.0,20.5,79.2,0.2,1.2,83.0,4.0,0.0
"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",71.0,0.1,0.0,19.7,80.0,0.24,1.2,85.0,4.0,0.0
"Babyfood, fruit, prunes with tapioca, without ascorbic acid, junior",70.0,0.6,0.1,18.7,80.1,0.78,2.7,162.0,10.0,2.0
"Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained",69.0,0.6,0.1,18.5,80.3,0.5,2.7,177.0,10.0,5.0
"Babyfood, oatmeal cereal with fruit, dry, instant, toddler fortified",402.0,10.5,7.05,74.1,5.4,2.95,7.8,346.0,107.0,0.0
"Beverages, Fruit punch drink, frozen concentrate, prepared with water",46.0,0.06,0.0,11.7,88.2,0.13,0.1,13.0,2.0,5.0
"Beverages, fruit punch drink, without added nutrients, canned",48.0,0.0,0.0,12.0,88.0,0.05,0.0,25.0,3.0,10.0
"Beverages, Mixed vegetable and fruit juice drink, with added nutrients",29.0,0.04,0.01,7.47,92.3,0.13,0.0,19.0,1.0,21.0
"Beverages, V8 SPLASH Juice Drinks, Diet Fruit Medley",4.0,0.0,0.0,1.26,98.8,0.1,,15.0,,13.0
"Beverages, V8 SPLASH Juice Drinks, Guava Passion Fruit",33.0,0.0,0.0,7.82,91.9,0.28,,12.0,,14.0
"Candies, MARS SNACKFOOD US, STARBURST Sour Fruit Chews",400.0,0.39,7.78,79.7,10.9,0.3,0.0,,,89.0
"Cereals ready-to-eat, wheat and bran, presweetened with nuts and fruits",385.0,7.1,5.6,76.2,8.5,2.6,9.7,382.0,120.0,245.0
"Cereals, QUAKER, Instant Oatmeal, fruit and cream variety, dry",379.0,8.3,6.37,75.4,6.56,3.36,6.0,280.0,84.0,499.0
"Snacks, KELLOGG, KELLOGG'S, NUTRI-GRAIN Cereal Bars, fruit",365.0,4.22,8.67,67.6,16.7,2.8,3.0,247.0,37.0,354.0
"Toaster pastries, fruit (includes apple, blueberry, cherry, strawberry)",388.0,4.2,9.95,70.3,14.3,1.2,1.0,102.0,12.0,334.0
"Yogurt, fruit, low fat, 11g protein/8 oz",105.0,4.86,1.41,18.6,74.1,1.03,0.0,216.0,16.0,65.0
"Beverages, citrus fruit juice drink, frozen concentrate, prepared with water",46.0,0.34,0.03,11.4,87.8,0.38,0.1,112.0,6.0,4.0
"Beverages, fruit juice drink, reduced sugar, with vitamin E added",39.0,0.0,0.07,10.0,87.6,2.35,0.0,11.0,2.0,2.0
"Beverages, fruit punch juice drink, frozen concentrate, prepared with water",42.0,0.07,0.17,11.4,88.2,0.2,0.0,66.0,3.0,5.0
"Beverages, The COCA-COLA company, Hi-C Flashin' Fruit Punch",45.0,0.0,0.0,12.5,87.5,0.01,0.0,0.0,0.0,8.0
"Danish pastry, fruit, unenriched (includes apple, cinnamon, raisin, strawberry)",371.0,5.4,18.5,47.8,27.1,1.2,1.9,83.0,15.0,354.0
"Snacks, FARLEY CANDY, FARLEY Fruit Snacks, with vitamins A, C, and E",341.0,4.4,0.0,80.9,14.7,0.0,,,,36.0
"Snacks, SUNKIST, SUNKIST Fruit Roll, strawberry, with vitamins A, C, and E",342.0,0.6,1.0,82.7,14.6,1.1,7.7,,,111.0
