,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg",Category
136,"Noodles, japanese, soba, dry",336.0,14.4,0.71,74.6,252.0,35.0,95.0,grain
137,"Noodles, japanese, somen, cooked",131.0,4.0,0.18,27.5,29.0,8.0,2.0,grain
138,"Noodles, japanese, somen, dry",356.0,11.4,0.81,74.1,164.0,23.0,28.0,grain
165,"Rice bran, crude",316.0,13.4,20.8,49.7,1480.0,57.0,781.0,grain
166,"Rice flour, brown",363.0,7.23,2.78,76.5,289.0,11.0,112.0,grain
167,"Rice flour, white, unenriched",366.0,5.95,1.42,80.1,76.0,10.0,35.0,grain
168,"Rice noodles, cooked",108.0,1.79,0.2,24.0,4.0,4.0,3.0,grain
169,"Rice noodles, dry",364.0,5.95,0.56,80.2,30.0,18.0,12.0,grain
170,"Rice, brown, parboiled, cooked, UNCLE BENS",147.0,3.09,0.85,31.3,61.0,3.0,39.0,grain
171,"Rice, brown, parboiled, dry, UNCLE BEN'S",370.0,7.6,2.75,78.7,219.0,8.0,98.0,grain
172,"Rice, white, glutinous, unenriched, cooked",97.0,2.02,0.19,21.1,10.0,2.0,5.0,grain
173,"Rice, white, glutinous, unenriched, uncooked",370.0,6.81,0.55,81.7,77.0,11.0,23.0,grain
191,"Wheat bran, crude",216.0,15.6,4.25,64.5,1180.0,73.0,611.0,grain
192,"Wheat flour, white (industrial), 10% protein, bleached, enriched",366.0,9.71,1.48,76.2,149.0,20.0,25.0,grain
193,"Wheat flour, white (industrial), 10% protein, bleached, unenriched",366.0,9.71,1.48,76.2,149.0,20.0,25.0,grain
194,"Wheat flour, white (industrial), 10% protein, unbleached, enriched",366.0,9.71,1.48,76.2,149.0,20.0,25.0,grain
195,"Wheat flour, white (industrial), 11.5% protein, bleached, enriched",363.0,11.5,1.45,73.8,138.0,20.0,30.0,grain
196,"Wheat flour, white (industrial), 11.5% protein, bleached, unenriched",363.0,11.5,1.45,73.8,138.0,20.0,30.0,grain
197,"Wheat flour, white (industrial), 11.5% protein, unbleached, enriched",363.0,11.5,1.45,73.8,138.0,20.0,30.0,grain
198,"Wheat flour, white (industrial), 13% protein, bleached, enriched",362.0,13.1,1.38,72.2,128.0,24.0,35.0,grain
199,"Wheat flour, white (industrial), 13% protein, bleached, unenriched",362.0,13.1,1.38,72.2,128.0,24.0,35.0,grain
200,"Wheat flour, white (industrial), 15% protein, bleached, enriched",362.0,15.3,1.41,69.9,120.0,17.0,38.0,grain
201,"Wheat flour, white (industrial), 15% protein, bleached, unenriched",362.0,15.3,1.41,69.9,120.0,17.0,38.0,grain
202,"Wheat flour, white (industrial), 9% protein, bleached, enriched",367.0,8.89,1.43,77.3,131.0,20.0,20.0,grain
203,"Wheat flour, white (industrial), 9% protein, bleached, unenriched",367.0,8.89,1.43,77.3,131.0,20.0,20.0,grain
204,"Wheat flour, white, all-purpose, enriched, bleached",364.0,10.3,0.98,76.3,107.0,15.0,22.0,grain
205,"Wheat flour, white, all-purpose, enriched, calcium-fortified",364.0,10.3,0.98,76.3,107.0,252.0,22.0,grain
206,"Wheat flour, white, all-purpose, enriched, unbleached",364.0,10.3,0.98,76.3,107.0,15.0,22.0,grain
207,"Wheat flour, white, all-purpose, self-rising, enriched",354.0,9.89,0.97,74.2,124.0,338.0,19.0,grain
208,"Wheat flour, white, all-purpose, unenriched",364.0,10.3,0.98,76.3,107.0,15.0,22.0,grain
209,"Wheat flour, white, bread, enriched",361.0,12.0,1.66,72.5,100.0,15.0,25.0,grain
210,"Wheat flour, white, cake, enriched",362.0,8.2,0.86,78.0,105.0,14.0,16.0,grain
211,"Wheat flour, white, tortilla mix, enriched",405.0,9.66,10.6,67.1,100.0,205.0,21.0,grain
212,"Wheat flours, bread, unenriched",361.0,12.0,1.66,72.5,100.0,15.0,25.0,grain
213,"Wheat germ, crude",360.0,23.2,9.72,51.8,892.0,39.0,239.0,grain
214,"Wheat, durum",339.0,13.7,2.47,71.1,431.0,34.0,144.0,grain
215,"Wheat, hard red spring",329.0,15.4,1.92,68.0,340.0,25.0,124.0,grain
216,"Wheat, hard red winter",327.0,12.6,1.54,71.2,363.0,29.0,126.0,grain
217,"Wheat, hard white",342.0,11.3,1.71,75.9,432.0,32.0,93.0,grain
218,"Wheat, KAMUT khorasan, cooked",132.0,5.71,0.83,27.6,164.0,9.0,48.0,grain
219,"Wheat, KAMUT khorasan, uncooked",337.0,14.5,2.13,70.6,403.0,22.0,130.0,grain
220,"Wheat, soft red winter",331.0,10.4,1.56,74.2,397.0,27.0,126.0,grain
221,"Wheat, soft white",340.0,10.7,1.99,75.4,435.0,34.0,90.0,grain
222,"Wheat, sprouted",198.0,7.49,1.27,42.5,169.0,28.0,82.0,grain
