,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na",Category
532,"Onions, raw",40.0,1.1,0.1,9.34,89.1,0.35,1.7,146.0,10.0,4.0,vegetable
533,"Onions, spring or scallions (includes tops and bulb), raw",32.0,1.83,0.19,7.34,89.8,0.81,2.6,276.0,20.0,16.0,vegetable
534,"Onions, sweet, raw",32.0,0.8,0.08,7.55,91.2,0.34,0.9,119.0,9.0,8.0,vegetable
535,"Onions, welsh, raw",34.0,1.9,0.4,6.5,90.5,0.7,2.4,212.0,23.0,17.0,vegetable
540,"Parsnips, cooked, boiled, drained, with salt",71.0,1.32,0.3,17.0,80.2,1.13,4.0,367.0,29.0,246.0,vegetable
541,"Parsnips, cooked, boiled, drained, without salt",71.0,1.32,0.3,17.0,80.2,1.13,3.6,367.0,29.0,10.0,vegetable
542,"Parsnips, raw",75.0,1.2,0.3,18.0,79.5,0.98,4.9,375.0,29.0,10.0,vegetable
545,"Peas and carrots, frozen, cooked, boiled, drained, with salt",48.0,3.09,0.42,10.1,85.8,0.57,3.1,158.0,16.0,304.0,vegetable
546,"Peas and carrots, frozen, cooked, boiled, drained, without salt",48.0,3.09,0.42,10.1,85.8,0.57,3.1,158.0,16.0,68.0,vegetable
549,"Peas and onions, frozen, cooked, boiled, drained, with salt",45.0,2.54,0.2,8.63,88.2,0.45,2.2,117.0,13.0,273.0,vegetable
550,"Peas and onions, frozen, cooked, boiled, drained, without salt",45.0,2.54,0.2,8.63,88.2,0.45,2.2,117.0,13.0,37.0,vegetable
553,"Peas, edible-podded, cooked, boiled, drained, with salt",40.0,3.27,0.23,6.46,88.9,1.13,2.8,240.0,26.0,240.0,vegetable
554,"Peas, edible-podded, frozen, cooked, boiled, drained, with salt",50.0,3.5,0.38,8.43,86.6,1.09,3.1,217.0,28.0,241.0,vegetable
555,"Peas, edible-podded, frozen, cooked, boiled, drained, without salt",52.0,3.5,0.38,9.02,86.6,0.5,3.1,217.0,28.0,5.0,vegetable
557,"Peas, edible-podded, raw",42.0,2.8,0.2,7.55,88.9,0.56,2.6,200.0,24.0,4.0,vegetable
564,"Peas, green, cooked, boiled, drained, with salt",84.0,5.36,0.22,15.6,77.9,0.92,5.5,271.0,39.0,239.0,vegetable
565,"Peas, green, cooked, boiled, drained, without salt",84.0,5.36,0.22,15.6,77.9,0.92,5.5,271.0,39.0,3.0,vegetable
566,"Peas, green, frozen, cooked, boiled, drained, with salt",78.0,5.15,0.27,14.3,79.5,0.8,4.5,110.0,22.0,323.0,vegetable
567,"Peas, green, frozen, cooked, boiled, drained, without salt",78.0,5.15,0.27,14.3,79.5,0.8,4.5,110.0,22.0,72.0,vegetable
569,"Peas, green, raw",81.0,5.42,0.4,14.4,78.9,0.87,5.7,244.0,33.0,5.0,vegetable
570,"Peas, mature seeds, sprouted, cooked, boiled, drained, with salt",98.0,7.05,0.51,17.1,74.4,0.99,,268.0,41.0,239.0,vegetable
571,"Peas, mature seeds, sprouted, cooked, boiled, drained, without salt",98.0,7.05,0.51,17.1,74.4,0.99,,268.0,41.0,3.0,vegetable
572,"Peas, mature seeds, sprouted, raw",124.0,8.8,0.68,27.1,62.3,1.14,,381.0,56.0,20.0,vegetable
574,"Pepper, banana, raw",27.0,1.66,0.45,5.35,91.8,0.73,3.4,256.0,17.0,13.0,vegetable
579,"Peppers, hot chili, green, raw",40.0,2.0,0.2,9.46,87.7,0.6,1.5,340.0,25.0,7.0,vegetable
581,"Peppers, hot chili, red, raw",40.0,1.87,0.44,8.81,88.0,0.87,1.5,322.0,23.0,9.0,vegetable
583,"Peppers, hungarian, raw",29.0,0.8,0.41,6.7,91.5,0.58,1.0,202.0,16.0,1.0,vegetable
585,"Peppers, jalapeno, raw",29.0,0.91,0.37,6.5,91.7,0.53,2.8,248.0,15.0,3.0,vegetable
587,"Peppers, serrano, raw",32.0,1.74,0.44,6.7,90.2,0.87,3.7,305.0,22.0,10.0,vegetable
589,"Peppers, sweet, green, cooked, boiled, drained, with salt",26.0,0.92,0.2,6.11,91.9,0.9,1.2,166.0,10.0,238.0,vegetable
590,"Peppers, sweet, green, cooked, boiled, drained, without salt",28.0,0.92,0.2,6.7,91.9,0.31,1.2,166.0,10.0,2.0,vegetable
592,"Peppers, sweet, green, frozen, chopped, cooked, boiled, drained, with salt",16.0,0.95,0.18,3.31,94.7,0.86,0.9,72.0,7.0,240.0,vegetable
594,"Peppers, sweet, green, raw",20.0,0.86,0.17,4.64,93.9,0.43,1.7,175.0,10.0,3.0,vegetable
597,"Peppers, sweet, red, cooked, boiled, drained, with salt",26.0,0.92,0.2,6.11,91.9,0.9,1.2,166.0,10.0,238.0,vegetable
598,"Peppers, sweet, red, cooked, boiled, drained, without salt",28.0,0.92,0.2,6.7,91.9,0.31,1.2,166.0,10.0,2.0,vegetable
603,"Peppers, sweet, red, raw",26.0,0.99,0.3,6.03,92.2,0.47,2.1,211.0,12.0,4.0,vegetable
605,"Peppers, sweet, yellow, raw",27.0,1.0,0.21,6.32,92.0,0.45,0.9,212.0,12.0,2.0,vegetable
616,"Pigeonpeas, immature seeds, cooked, boiled, drained, with salt",111.0,5.96,1.36,19.5,71.8,1.39,4.2,456.0,40.0,240.0,vegetable
617,"Pigeonpeas, immature seeds, cooked, boiled, drained, without salt",111.0,5.96,1.36,19.5,71.8,1.39,4.2,456.0,40.0,5.0,vegetable
618,"Pigeonpeas, immature seeds, raw",136.0,7.2,1.64,23.9,65.9,1.4,5.1,552.0,68.0,5.0,vegetable
621,"Pokeberry shoots, (poke), cooked, boiled, drained, with salt",20.0,2.3,0.4,3.1,92.9,1.3,1.5,184.0,14.0,254.0,vegetable
