Description,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,"Calcium, Ca","Potassium, K","Zinc, Zn","Selenium, Se","Manganese, Mn","Phosphorus, P","Magnesium, Mg","Copper, Cu","Iron, Fe","Sodium, Na","Folate, total","Vitamin C, total ascorbic acid",Niacin,Vitamin B-6,Riboflavin,Thiamin,Pantothenic acid,"Vitamin A, RAE",Vitamin D (D2 + D3),Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tyrosine,Valine,"PUFA 18:3 n-3 c,c,c (ALA)",PUFA 20:5 n-3 (EPA),PUFA 22:6 n-3 (DHA),"Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total trans",Cholesterol
"Fish, halibut, raw, with skin (Alaska Native)",116.0,73.4,20.5,2.92,1.81,1.3,20.0,449.0,0.61,51.1,0.011,244.0,26.0,0.042,0.27,79.0,15.0,0.0,5.76,0.39,0.072,0.066,0.377,47.0,,0.499,0.943,1.6,1.82,0.799,0.821,0.954,0.699,1.03,0.012,0.217,0.393,0.726,1.2,0.912,,72.0
"Fish, lingcod, meat, raw (Alaska Native)",79.0,80.0,17.9,0.8,0.0,1.3,,433.0,,,,,,,,59.0,,,,,0.36,0.11,,,,,,,,,,,,,,,,,,,,
"Fish, rockfish, Pacific, mixed species, raw",90.0,79.1,18.4,1.34,0.0,1.31,14.0,386.0,0.36,63.0,0.011,205.0,27.0,0.034,0.3,74.0,9.0,0.0,2.39,0.21,0.187,0.023,0.333,4.0,3.8,0.414,0.876,1.52,1.81,0.584,0.772,0.838,0.659,0.913,0.01,0.084,0.179,0.336,0.364,0.37,0.018,50.0
"Fish, Salmon, Chum, raw (Alaska Native)",116.0,72.3,20.7,3.67,0.0,1.27,7.0,370.0,0.54,39.7,0.03,230.0,26.0,0.137,0.56,59.0,18.0,0.0,8.79,0.189,0.217,0.156,1.02,32.0,,0.51,0.92,1.52,1.73,0.77,0.84,0.92,1.1,1.03,,0.17,0.41,0.547,0.94,0.77,,59.0
"Fish, sea bass, mixed species, raw",97.0,78.3,18.4,2.0,0.0,1.09,10.0,256.0,0.4,36.5,0.015,194.0,41.0,0.019,0.29,68.0,5.0,0.0,1.6,0.4,0.12,0.11,0.75,46.0,5.6,0.543,0.849,1.5,1.69,0.546,0.72,0.808,0.622,0.95,,0.161,0.434,0.511,0.424,0.743,,41.0
"Fish, bass, fresh water, mixed species, raw",114.0,75.7,18.9,3.69,0.0,1.52,80.0,356.0,0.65,12.6,0.889,200.0,30.0,0.093,1.49,70.0,15.0,2.0,1.25,0.12,0.074,0.075,0.75,30.0,,0.555,0.869,1.53,1.73,0.558,0.736,0.827,0.637,0.971,,0.238,0.357,0.78,1.43,1.06,,68.0
"Fish, mackerel, Pacific and jack, mixed species, raw",158.0,70.2,20.1,7.89,0.0,1.62,23.0,406.0,0.67,36.5,0.015,125.0,28.0,0.093,1.16,86.0,2.0,2.0,8.32,0.33,0.421,0.111,0.316,19.0,9.1,0.591,0.925,1.63,1.84,0.594,0.783,0.88,0.678,1.03,,0.509,0.932,2.25,2.63,1.94,,47.0
"Fish, salmon, coho (silver), raw (Alaska Native)",140.0,69.4,22.6,5.57,0.0,1.24,5.0,380.0,0.41,27.6,,240.0,28.0,0.051,0.55,58.0,13.0,0.0,7.93,0.225,0.189,0.152,1.23,30.0,,0.49,0.9,1.61,1.81,0.71,0.91,0.97,0.72,1.03,0.089,0.491,1.38,0.904,1.79,2.41,,58.0
"Fish, salmon, king (chinook), raw (Alaska Native)",187.0,66.0,20.2,11.7,0.0,1.25,42.0,370.0,0.52,31.0,,208.0,24.0,,0.79,48.0,15.0,0.0,8.42,0.271,0.169,0.161,0.987,136.0,,,,,,,,,,,,0.44,0.71,1.87,4.09,1.6,,61.0
"Fish, salmon, sockeye (red), raw (Alaska Native)",153.0,69.6,21.9,7.28,0.0,1.29,7.0,360.0,0.52,29.9,0.014,240.0,27.0,0.052,0.53,60.0,11.0,0.0,8.04,0.282,0.297,0.253,1.14,58.0,,0.5,0.97,1.52,1.76,0.78,0.82,0.99,0.66,1.12,,0.33,0.63,1.01,2.2,1.37,,64.0
"Fish, trout, brook, raw, New York State",110.0,75.7,21.2,2.73,0.0,1.32,25.0,417.0,0.55,,0.018,246.0,28.0,0.045,0.38,45.0,,,5.29,0.273,0.101,0.137,,,,,,,,,,,,,0.049,0.069,0.252,0.595,0.815,0.772,0.019,60.0
"Fish, whitefish, mixed species, raw (Alaska Native)",131.0,72.8,18.9,6.1,0.0,2.2,,317.0,0.99,,,280.0,33.0,0.072,0.29,51.0,,,,,0.13,0.13,,,,,,,,,,,,,,,,1.37,2.56,1.82,,55.0
"Fish, cod, Pacific, raw (may have been previously frozen)",69.0,84.0,15.3,0.41,0.0,1.46,8.0,235.0,0.31,22.9,0.012,281.0,20.0,0.019,0.16,303.0,7.0,0.0,1.1,0.117,0.045,0.033,0.294,2.0,0.5,0.324,0.679,1.21,1.4,0.418,0.595,0.658,0.553,0.731,0.001,0.034,0.096,0.085,0.073,0.164,0.005,47.0
"Fish, pollock, Alaska, raw (may contain additives to retain moisture)",56.0,86.8,12.2,0.41,0.0,1.36,15.0,160.0,0.31,15.9,0.011,284.0,16.0,0.031,0.22,333.0,3.0,0.0,0.653,0.069,0.08,0.03,0.237,3.0,0.2,0.259,0.573,0.98,1.12,0.37,0.471,0.536,0.453,0.619,0.001,0.049,0.116,0.124,0.079,0.195,0.016,46.0
