Description,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,"Calcium, Ca","Potassium, K","Zinc, Zn","Selenium, Se","Manganese, Mn","Phosphorus, P","Magnesium, Mg","Copper, Cu","Iron, Fe","Sodium, Na","Folate, total","Vitamin C, total ascorbic acid",Niacin,Vitamin B-6,Riboflavin,Thiamin,Pantothenic acid,"Vitamin A, RAE",Vitamin D (D2 + D3),Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tyrosine,Valine,"PUFA 18:3 n-3 c,c,c (ALA)",PUFA 20:5 n-3 (EPA),PUFA 22:6 n-3 (DHA),"Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total trans",Cholesterol,Watertype
"shad, american",197.0,68.2,16.9,13.8,0.0,1.32,47.0,384.0,0.37,36.5,0.042,272.0,30.0,0.064,0.97,51.0,15.0,0.0,8.4,0.4,0.24,0.15,0.75,32.0,4.8,0.498,0.78,1.38,1.56,0.501,0.661,0.742,0.572,0.872,,1.09,1.32,3.13,5.72,3.27,,75.0,saltwater
"smelt, rainbow",97.0,78.8,17.6,2.42,0.0,1.4,60.0,290.0,1.65,36.5,0.7,230.0,30.0,0.139,0.9,60.0,4.0,0.0,1.45,0.15,0.12,0.01,0.638,15.0,0.8,0.519,0.812,1.43,1.62,0.522,0.688,0.773,0.595,0.908,,0.275,0.418,0.452,0.641,0.885,,70.0,saltwater/freshwater
"sucker, white",92.0,79.7,16.8,2.32,0.0,1.46,70.0,380.0,0.75,12.6,0.6,210.0,30.0,0.195,1.3,40.0,15.0,0.0,1.2,0.2,0.07,0.01,0.75,51.0,,0.493,0.772,1.36,1.54,0.496,0.654,0.735,0.566,0.863,,0.19,0.289,0.452,0.706,0.807,,41.0,freshwater
"turbot, european",95.0,77.0,16.0,2.95,0.0,2.1,18.0,238.0,0.22,36.5,0.017,129.0,51.0,0.037,0.36,150.0,8.0,1.7,2.2,0.21,0.08,0.066,0.57,11.0,,0.473,0.74,1.3,1.47,0.475,0.627,0.704,0.542,0.827,,,,0.75,0.61,0.88,,48.0,saltwater
"wolffish, Atlantic",96.0,79.9,17.5,2.39,0.0,1.16,6.0,300.0,0.78,36.5,0.015,200.0,30.0,0.029,0.09,85.0,5.0,0.0,2.13,0.4,0.08,0.18,0.57,113.0,,0.515,0.806,1.42,1.61,0.518,0.683,0.767,0.591,0.902,,0.307,0.316,0.365,0.837,0.845,,46.0,saltwater
"catfish, channel",95.0,80.4,16.4,2.82,0.0,0.96,14.0,358.0,0.51,12.6,0.025,209.0,23.0,0.034,0.3,43.0,10.0,0.7,1.91,0.116,0.072,0.21,0.765,15.0,12.5,0.482,0.755,1.33,1.5,0.485,0.639,0.718,0.553,0.844,,0.13,0.234,0.722,0.844,0.865,,58.0,freshwater
"halibut, Atlantic and Pacific",91.0,80.3,18.6,1.33,0.0,1.29,7.0,435.0,0.36,45.6,0.011,236.0,23.0,0.023,0.16,68.0,12.0,0.0,6.51,0.548,0.03,0.05,0.343,20.0,4.7,0.613,0.959,1.69,1.91,0.616,0.813,0.912,0.703,1.07,0.011,0.066,0.128,0.292,0.471,0.29,,49.0,saltwater
"ocean perch, Atlantic",79.0,83.1,15.3,1.54,0.0,1.2,28.0,187.0,0.29,28.6,0.011,248.0,23.0,0.021,0.22,287.0,9.0,0.0,1.0,0.073,0.048,0.04,0.272,12.0,1.2,0.319,0.723,1.24,1.46,0.488,0.638,0.704,0.544,0.741,0.015,0.062,0.153,0.273,0.475,0.304,0.009,52.0,saltwater
"salmon, Atlantic",142.0,68.5,19.8,6.34,0.0,2.54,12.0,490.0,0.64,36.5,0.016,200.0,29.0,0.25,0.8,44.0,25.0,0.0,7.86,0.818,0.38,0.226,1.66,12.0,,0.584,0.914,1.61,1.82,0.587,0.775,0.87,0.67,1.02,,0.321,1.12,0.981,2.1,2.54,,55.0,saltwater/freshwater
"salmon, coho",146.0,72.7,21.6,5.93,0.0,1.21,36.0,423.0,0.41,36.5,0.014,262.0,31.0,0.051,0.56,46.0,9.0,1.0,7.23,0.549,0.14,0.113,0.823,40.0,9.0,0.636,0.996,1.76,1.98,0.64,0.844,0.948,0.73,1.11,,0.429,0.656,1.26,2.13,1.99,,45.0,saltwater/freshwater
"sunfish, pumpkin seed",89.0,79.5,19.4,0.7,0.0,1.1,80.0,350.0,1.55,12.6,0.7,180.0,30.0,0.3,1.2,80.0,15.0,1.0,1.2,0.12,0.07,0.08,0.75,15.0,,0.571,0.894,1.58,1.78,0.574,0.757,0.85,0.655,0.999,,0.037,0.072,0.139,0.117,0.246,,67.0,freshwater
"trout, rainbow",119.0,71.9,20.5,3.46,0.0,1.31,67.0,481.0,1.08,12.6,0.158,271.0,31.0,0.109,0.7,31.0,12.0,2.4,5.38,0.406,0.105,0.123,0.928,19.0,,0.603,0.944,1.66,1.88,0.606,0.799,0.898,0.691,1.06,,0.167,0.42,0.722,1.13,1.24,,59.0,freshwater
"tuna, fresh, bluefin",144.0,68.1,23.3,4.9,0.0,1.18,8.0,252.0,0.6,36.5,0.015,254.0,50.0,0.086,1.02,39.0,2.0,0.0,8.65,0.455,0.251,0.241,1.05,655.0,5.7,0.687,1.08,1.9,2.14,0.69,0.911,1.02,0.787,1.2,,0.283,0.89,1.26,1.6,1.43,,38.0,saltwater
"tuna, fresh, skipjack",103.0,70.6,22.0,1.01,0.0,1.3,29.0,407.0,0.82,36.5,0.015,222.0,34.0,0.086,1.25,37.0,9.0,1.0,15.4,0.85,0.1,0.033,0.42,16.0,,0.648,1.01,1.79,2.02,0.651,0.859,0.964,0.743,1.13,,0.071,0.185,0.328,0.19,0.315,,47.0,saltwater
"tuna, fresh, yellowfin",109.0,74.0,24.4,0.49,0.0,1.64,4.0,441.0,0.37,90.6,0.011,278.0,35.0,0.036,0.77,45.0,2.0,0.0,18.5,0.933,0.115,0.118,0.28,18.0,1.7,0.688,1.08,1.9,2.15,0.692,0.913,1.02,0.789,1.2,0.002,0.012,0.088,0.172,0.116,0.147,0.016,39.0,saltwater
flatfish (flounder and sole species),70.0,84.6,12.4,1.93,0.0,1.22,21.0,160.0,0.32,26.6,0.014,252.0,18.0,0.019,0.18,296.0,5.0,0.0,1.04,0.098,0.02,0.022,0.185,10.0,2.8,0.304,0.614,1.09,1.27,0.455,0.508,0.585,0.479,0.651,0.017,0.137,0.108,0.441,0.535,0.374,0.011,45.0,saltwater/freshwater
"trout, brook, New York State",110.0,75.7,21.2,2.73,0.0,1.32,25.0,417.0,0.55,,0.018,246.0,28.0,0.045,0.38,45.0,,,5.29,0.273,0.101,0.137,,,,,,,,,,,,,0.049,0.069,0.252,0.595,0.815,0.772,0.019,60.0,freshwater
